boolean	Boolean	In computer science, the Boolean data type is a data type that has one of two possible values (usually denoted true and false) which is intended to represent the two truth values of logic and Boolean algebra.	False	common	common			Логический тип	Логи́ческий тип да́нных, или булев тип, или булевый тип (от англ. Boolean или logical data type) — примитивный тип данных в информатике, принимающий два возможных значения, иногда называемых истиной (true) и ложью (false).	https://en.wikipedia.org/wiki/Boolean_data_type	wikipedia		booleancommon, booleanyesno, rusyesnobool
budgetcode	Russian government budget code	Budget codes issued by Ministry of Finances and Federal Treasury of Russia to all government and local budgets.	False	ru	government	RU		Код бюджета	Уникальный код, присваеваемый каждому отдельному бюджету: федеральному, субъекта федерации и муниципалитету в Российской Федерации.				rubudgetcode
budgetname	Russian government budget name	Name of the budget of Russian government at federal, regional or local level	False	ru	government	RU		Наименование бюджета	Название бюджета по справочнику наименований и кодов бюджета ведомом Минфином России и Федеральным казначейством.				rubudgetname
cficode	Classification of Financial Instruments (ISO 10962)	ISO 10962, generally known as CFI (Classification of Financial Instruments) is a six-letter-code used in the financial services industry to classify and describe the structure and function of a financial instrument (in the form of security or contract). It is an international standard approved by the International Organization for Standardization (ISO)	False	common	finances					https://en.wikipedia.org/wiki/ISO_10962	wikipedia		
city	City	A city is a large human settlement. It can be defined as a permanent and densely settled place with administratively defined boundaries whose members work primarily on non-agricultural tasks.	True	common	geo, pii, common			Город	Го́род — крупный населённый пункт, жители которого заняты, как правило, не сельским хозяйством.	https://en.wikipedia.org/wiki/City	wikipedia	ruscity, uscity	cityknown, rucityknown, ruscities
country	Country code or name	A country is a distinct territorial body or political entity. It may be an independent sovereign state or part of a larger state,[2] as a non-sovereign or formerly sovereign political division, a physical territory with a government, or a geographic region associated with sets of previously independent or differently associated peoples with distinct political characteristics.	False	common	geo			Название или код страны	Страна — территория, имеющая политические, физико-географические, культурные или исторические границы, которые могут быть как чётко определёнными и зафиксированными, так и размытыми (в таком случае нередко говорят не о границах, а о «рубежах»).	https://en.wikipedia.org/wiki/Country	wikipedia	ruscountryname, countrycode_alpha2, countrycode_alpha3, encountryname, countrycode_num	countryknown, iso3166-alpha2, iso3166-alpha2imprecise, iso3166-alpha3imprecise, iso3166-alpha3, rucountrycode, rucountrycodepat, rucountryname
csrcode	Russian budget target item of expenditure code	Russian budget target item of expenditure code	False	ru	government	RU		Целевая статья расходов российского бюджета	Целевая статья расходов российского бюджета				rucsrcode
currency	Currency	A currency in the most specific sense is money in any form when in use or circulation as a medium of exchange, especially circulating banknotes and coins.	False	common	finances					https://en.wikipedia.org/wiki/Currency	wikipedia	iso4217curcode, iso4217curname	
cusip	CUSIP code	A CUSIP is a nine-digit numeric (e.g. 037833100 for Apple) or nine-character alphanumeric (e.g. 38259P508 for Google) code that identifies a North American financial security for the purposes of facilitating clearing and settlement of trades	False	common	finances					https://en.wikipedia.org/wiki/CUSIP	wikipedia		
date	Date	Date with one of known notations	False	common	datetime			Дата	Дата в одной из общепринятых нотаций	https://en.wikipedia.org/wiki/Date_and_time_notation	wikipedia		deathdayknown, birthdayknown
datetime	Date and time	Date and time with one of known notations	False	common	datetime			Дата и время	Дата и время в одной из общепринятых нотаций	https://en.wikipedia.org/wiki/Date_and_time_notation	wikipedia		rusdatetimename
dayofmonth	Day of month	Month day, numeric value from 1 to 31	False	common	datetime			День месяца	День месяца в зн				frdayofmonthbyknown
dayofweek	Day of week	Week day name	False	common	datetime			День недели	Название для недели	https://en.wikipedia.org/wiki/Workweek_and_weekend	wikipedia	endayofweek, rusdayofweek	endayofweek, endayofweekknown, rusdayofweek
deathday	Date of death	Date of death of the person	True	common	pii, datetime		date	Дата смерти	Дата смерти человека	https://en.wikipedia.org/wiki/Death_anniversary	wikipedia		rudeathdayknown
doi	Digital Object Identifier (DOI)	A digital object identifier (DOI) is a persistent identifier or handle used to identify objects uniquely, standardized by the International Organization for Standardization (ISO).	False	common	science			Цифровой идентификатор объекта (DOI)	Цифровой идентификатор объекта (англ. digital object identifier (DOI), дискретный объекта идентификатор (ДОИ)) — основной элемент системы ДОИ, предназначенной для обозначения объектов информационной деятельности.	https://en.wikipedia.org/wiki/Digital_object_identifier	wikipedia		doibydata
domainname	Internet domain name	A domain name is an identification string that defines a realm of administrative autonomy, authority or control within the Internet.	False	common	internet					https://en.wikipedia.org/wiki/Domain_name	wikipedia		
duns	Data Universal Numbering System (DUNS)	The Data Universal Numbering System, abbreviated as DUNS or D-U-N-S, is a proprietary system developed and managed by Dun & Bradstreet (D&B) that assigns a unique numeric identifier, referred to as a "DUNS number" to a single business entity. It was introduced in 1963 to support D&B's credit reporting practice.	False	common	companies					https://en.wikipedia.org/wiki/Data_Universal_Numbering_System	wikipedia		
email	Email (Electronic mail)	Electronic mail (email or e-mail) is a method of exchanging messages ("mail") between people using electronic devices. Email was thus conceived as the electronic (digital) version of, or counterpart to, mail, at a time when "mail" meant only physical mail (hence e- + mail).	True	common	common, pii			Электронная почта (email)	Электро́нная по́чта (англ. email, e-mail [iˈmeɪl], от англ. electronic mail) — технология и служба по пересылке и получению электронных сообщений (называемых «письма», «электронные письма» или «сообщения») между пользователями компьютерной сети (в том числе — Интернета).	https://en.wikipedia.org/wiki/Email	wikipedia		email, ruemail, emailknownpat, emailknownprefix, emailknown
epcicode	Etablissements publics de coopération intercommunale (EPCI)	Etablissements publics de coopération intercommunale (EPCI). French administrative geo code	False	fr	geo	FR				https://www.insee.fr/fr/information/2510634	other		epcicodebyknown
eui48	MAC Address (EUI48) of the device	A media access control address (MAC address) is a unique identifier assigned to a network interface controller (NIC) for use as a network address in communications within a network segment.	True	common	internet, pii								eui48
fedgrbs	Russian direct government budget receiver and distributor code	3 digits code of the Russian direct government budget receiver and distributor. Assigned to each government ministry, agency, service and some other budget distributor organizations	False	ru	government	RU		Код главного распорядителя бюджетных средств					rugrbscode
filename	Name of the file	File name with common notation like somefile.ext	False	common	common								filenamebyvalue, filenamebyknown
gender	Gender	Gender flag and/or any other identification value	True	common	pii, persons								genderbyknown
geopoint	Geopoint	Geographic point as string with latitude and longitude	True	common	geo								
grid	Global Research Identifier	Global Research Identifier Database (GRID) is a database of educational and research organizations worldwide, created and maintained by Digital Science & Research Solutions Ltd., part of the technology company Digital Science.	False	common	science					https://en.wikipedia.org/wiki/Global_Research_Identifier_Database	wikipedia		
guid	GUID (Globally unique identifier)	A universally unique identifier (UUID) is a 128-bit label used for information in computer systems. The term globally unique identifier (GUID) is also used.	False	common	identifiers								guid
imonumber	IMO Number	The International Maritime Organization (IMO) number is a unique identifier for ships, registered ship owners and management companies.	False	common	transport					https://en.wikipedia.org/wiki/IMO_number	wikipedia		
inn	INN (Russian tax identifier)	Russian organization/person tax identification number (INN) is unique for each person and organization.	False	ru	companies	RU							ruinn, ruinnknown, ruinnfulltext
inseecode	INSEE code	The INSEE code is a numerical indexing code used by the French National Institute for Statistics and Economic Studies (INSEE) to identify various entities, including communes and départements. 	False	fr	geo	FR				https://en.wikipedia.org/wiki/INSEE_code	wikipedia		inseecodeknown
ipaddr	IPv4 or IPv6 address	Internet Protocol version 4 (IPv4) or Internet Protocol version 6 (IPv6) address	True	common	internet, pii								
ipsubnet	IPv4 or IPv6 subnet	Subnetwork of IPv4 or IPv6 addresses	True	common	internet								
ipv4	Internet Protocol version 4 (IPv4)	Internet Protocol version 4 (IPv4) is the fourth version of the Internet Protocol (IP). It is one of the core protocols of standards-based internetworking methods in the Internet and other packet-switched networks.	True	common	internet, pii								ipv4
ipv4subnet	IPv4 subnet	Subnetwork of IPv4 addresses	True	common	internet								
ipv6	Internet Protocol version 6 (IPv6)	Internet Protocol version 6 (IPv6) is the most recent version of the Internet Protocol (IP), the communications protocol that provides an identification and location system for computers on networks and routes traffic across the Internet.	True	common	internet, pii								ipv6
isbn10	International Standard Book Number 10-digits (ISBN10)	The International Standard Book Number (ISBN) is a numeric commercial book identifier that is intended to be unique. Publishers purchase ISBNs from an affiliate of the International ISBN Agency	False	common	objectids					https://en.wikipedia.org/wiki/International_Standard_Book_Number	wikipedia		isbn10
isbn13	International Standard Book Number 13-digits (ISBN13)	The International Standard Book Number (ISBN) is a numeric commercial book identifier that is intended to be unique. Publishers purchase ISBNs from an affiliate of the International ISBN Agency	False	common	objectids					https://en.wikipedia.org/wiki/International_Standard_Book_Number	wikipedia		isbn13, isbnbyname
isin	International Securities Identification Number	 An International Securities Identification Number (ISIN) uniquely identifies a security. Its structure is defined in ISO 6166. The ISIN code is a 12-character alphanumeric code that serves for uniform identification of a security through normalization of the assigned National Number, where one exists, at trading and settlement. 	False	common	finances					https://en.wikipedia.org/wiki/International_Securities_Identification_Number	wikipedia		
isni	International Standard Name Identifier	The International Standard Name Identifier (ISNI) is an identifier system for uniquely identifying the public identities of contributors to media content such as books, television programmes, and newspaper articles. Such an identifier consists of 16 digits. It can optionally be displayed as divided into four blocks. 	False	common	science, objectids					https://en.wikipedia.org/wiki/International_Standard_Name_Identifier	wikipedia		
jobtitle	Work position / Job title	Work positions / job title	False	common	persons, companies	RU		Должность	Должность персоны в организации			rusworkposition	ruspersonworkpositionsfield, ruspersonworkpositions
kbk	Russian budget classification code (KBK)	Russian budget classification code KBK (kod byudzhetnoy klassifikacii) identifiers certain budget allocation of the federal or regional budget	False	ru	government	RU		Код бюджетной классификации (КБК)	Код бюджетной классификации (КБК) используется в бюджетной системе РФ для идентификации конкретной строки расхода федерального или регионального государственного бюджета.				rukbkcode, rukbkcoodefull
kladr	KLADR code (Russian)	Russian unique codes assigned by Government Tax Service for every administrative address in Russian federation. Replaces by FIAS government system	False	ru	geo	RU		Код КЛАДР	КЛАДР — ведомственный классификатор ФНС России, созданный для распределения территорий между налоговыми инспекциями и автоматизированной рассылки корреспонденции. Заменен системой ФИАС				rukladrknown
kosgucode	Russian Public Administration Sector Classification Code (KOSGU) 	Russian Public Administration Sector Classification Code (KOSGU) used in Russian budget planning and procurement	False	ru	government	RU		Код КОСГУ	Код классификации секторов государственного управления используемые в Российской бюджетной системе				ruskosgucode
kpp	Russian company supplemental registration code (KPP)	Russian company supplemental registration code (KPP). Used in combination with Taxpayer INN code	False	ru	companies	RU		Код постановки на учёт (КПП)	Вспомогательный код используемый вместе с кодом ИНН для идентификации налоговой принадлежности компании.				rukppknown, rukpp
kvrcode	Russian budget expense type code (KVR)	Russian budget expense type code (KVR) used in budget planning and procurement	False	ru	government	RU		Код вида расходов (КВР)	Код вида расходов (КВР) используется как часть кода бюджетной классификации в процессах связанных с бюджетированием и госзакупками в Российской Федерации				ruskvrcode
kvrname	Russian budget expense type code name (KVR)	Russian budget expense type code (KVR) used in budget planning and procurement	False	ru	government	RU		Наименование кода вида расходов (КВР)	Код вида расходов (КВР) используется как часть кода бюджетной классификации в процессах связанных с бюджетированием и госзакупками в Российской Федерации				
languagetag	IETF language tag	An IETF BCP 47 language tag is a standardized code or tag that is used to identify human languages in the Internet. The tag structure has been standardized by the Internet Engineering Task Force (IETF) in Best Current Practice (BCP) 47; the subtags are maintained by the IANA Language Subtag Registry.	False	common	geo			Языковой код IETF	Языковой код/тэг по стандарту IETF BCP 47 идентифицирующий конкретный человеческий язык, стиль написания и тд.	https://en.wikipedia.org/wiki/IETF_language_tag	wikipedia		languagetag
latitude	Latitude	In geography, latitude is a geographic coordinate that specifies the north–south position of a point on the Earths surface. Latitude is an angle (defined below) which ranges from 0° at the Equator to 90° (North or South) at the poles.	False	common	geo, common					https://en.wikipedia.org/wiki/Latitude	wikipedia		latitudepat, rulatitutdeknown, latitude, latitudevalue
lei	Legal Entity Identifier	The Legal Entity Identifier (LEI) is a unique global identifier for legal entities participating in financial transactions. Also known as an LEI code or LEI number, its purpose is to help identify legal entities on a globally accessible database. Legal entities are organisations such as companies or government entities that participate in financial transactions. An individual person may not obtain an LEI.	False	common	companies					https://en.wikipedia.org/wiki/Legal_Entity_Identifier	wikipedia		
licaccount	Personal account (Russian)	A personal account is an account for use by an individual for that persons own needs. It is a relative term to differentiate them from those accounts for business or corporate use.	False	common	finances			Лицевой счет	Лицевой счёт (англ. personal account) — бухгалтерский счёт для ведения учёта расчетов с физическими и юридическими лицами, на котором отражаются все финансово-кредитные операции с определенным клиентом, является документом аналитического учёта.				
longitude	Longitude	Longitude is a geographic coordinate that specifies the east–west position of a point on the Earths surface, or the surface of a celestial body. It is an angular measurement, usually expressed in degrees and denoted by the Greek letter lambda (λ)	False	common	geo, common					https://en.wikipedia.org/wiki/Longitude	wikipedia		longitudevalue, longitude, rulongitudeknown, longitudepat
md5hash	MD5 hash	Result of the MD5 hash function. Commonly used to generate hash of from file or data or to use as unique identifier	False	common	cryptography					https://en.wikipedia.org/wiki/MD5	wikipedia		md5hash
miccode	Market Identifier Code (ISO 10383)	This International Standard specifies a universal method of identifying exchanges, trading platforms, regulated or non-regulated markets and trade reporting facilities as sources of prices and related information in order to facilitate automated processing	False	common	finances					https://www.iso20022.org/market-identifier-codes	other		
mimetype	Multipurpose Internet Mail Extensions (MIME)	Mime type of the file/content. Used to identify contents of the stream or file. The MIME standard is specified in a series of requests for comments: RFC 2045, RFC 2046, RFC 2047, RFC 4288, RFC 4289 and RFC 2049.	False	common	common					https://en.wikipedia.org/wiki/MIME	wikipedia		mimetypebyvalue, mimetypebyknown
mmsi	Maritime Mobile Service Identity	A Maritime Mobile Service Identity (MMSI) is a series of nine digits which are sent in digital form over a radio frequency channel in order to uniquely identify ship stations, ship earth stations, coast stations, coast earth stations, and group calls. These identities are formed in such a way that the identity or part thereof can be used by telephone and telex subscribers connected to the general telecommunications network to call ships automatically. 	False	common	transport					https://en.wikipedia.org/wiki/Maritime_Mobile_Service_Identity	wikipedia		
mongodbid	MongoDB unique record ID	MongoDB unique id assigned to each row of each collection in MongoDB as field _id	False	common	cryptography								
month	Month	Month as number since start of the year. Could be from 1 to 12	False	common	datetime							enmonth, enmonthshort	enmonth, enmonthshort, monthknown, monthknownpat, frmonthbyknown
nationality	Person nationality	Nationality of the person from list of unique code from one of code lists or defined somehow else.	True	common	pii, persons								nationalitybyknown
ocn	OCLC Control Number	OCLC assigns a unique control number (referred to as an "OCN" for "OCLC Control Number") to each new bibliographic record in the WorldCat. Numbers are assigned serially, and as of mid-2013 over a billion OCNs had been created. In September 2013, the OCLC declared these numbers to be in the public domain, removing a perceived barrier to widespread use of OCNs outside OCLC itself.[42] The control numbers link WorldCat's records to local library system records by providing a common reference key for a record across libraries	False	common	objectids					https://en.wikipedia.org/wiki/OCLC	wikipedia		
ogrn	Russian primary government identification number (OGRN)	Russian primary government identification number assigned by Tax Service to any business entity in Russia	False	ru	companies	RU		Основной государственный регистрационный номер (ОГРН)	ОГРН (основной государственный регистрационный номер) — государственный регистрационный номер записи о создании юридического лица либо записи о первом представлении в соответствии с федеральным законом Российской Федерации «О государственной регистрации юридических лиц» сведений о юридическом лице, зарегистрированном до введения в действие указанного Закона (пункт 8 Правил ведения Единого государственного реестра юридических лиц).				ruogrn, ruogrnfulltext
ogrn_ogrnip	Russian primary government identification number (OGRN and OGRNIP)	Russian primary government identification number assigned by Tax Service to any business entity (OGRN) in Russia and sole prprietors (OGRNIP)	False	ru	companies	RU		Код ОГРН или ОГРНИП	Основной государственный регистрационный номер индивидуального предпринимателя или ОГРН (основной государственный регистрационный номер)				ruogrnknown
okato	OKATO (Russian Classification on Objects of Administrative Division)	Russian Classification on Objects of Administrative Division (Russian: Общеросси́йский классифика́тор объе́ктов администрати́вно-территориа́льного деле́ния), or OKATO (Russian: ОКАТО), also called All-Russian classification on units of administrative and territorial distribution in English, is one of several Russian national registers. OKATOs purpose is organization of information about structure of the administrative divisions of the federal subjects of Russia.	False	ru	geo	RU		Код ОКАТО	 Общероссийский классификатор объектов административно-территориального деления (сокращ. ОКАТО — общероссийский классификатор административно-территориальных образований) — классификатор объектов административно-территориального деления Российской Федерации, входит в состав «Единой системы классификации и кодирования технико-экономической и социальной информации Российской Федерации» (ЕСКК). ОКАТО предназначен для обеспечения достоверности, сопоставимости и автоматизированной обработки информации в разрезах административно-территориального деления в таких сферах, как статистика, экономика и другие.	https://en.wikipedia.org/wiki/OKATO	wikipedia		ruokatoknown
okei	Russian OKEI code (classifier of units of measurement)	Russian OKEI (classifier of units of measurement)	False	ru	common	RU		Код ОКЕИ (Общероссийский классификатор единиц измерения)	Общероссийский классификатор единиц измерения — это общероссийский классификатор, предназначенный для использования при решении задач количественной оценки технико-экономических и социальных показателей в целях осуществления государственного учета и отчетности, анализа и прогнозирования развития экономики, обеспечения международных статистических сопоставлений, осуществления внутренней и внешней торговли, государственного регулирования внешнеэкономической деятельности и организации таможенного контроля.				ruokeiknown, ruokeicode
okeiname	Russian OKEI name of code (classifier of units of measurement)	Russian OKEI (classifier of units of measurement)	False	ru	common	RU		Наименование кода по ОКЕИ (Общероссийский классификатор единиц измерения)	Общероссийский классификатор единиц измерения — это общероссийский классификатор, предназначенный для использования при решении задач количественной оценки технико-экономических и социальных показателей в целях осуществления государственного учета и отчетности, анализа и прогнозирования развития экономики, обеспечения международных статистических сопоставлений, осуществления внутренней и внешней торговли, государственного регулирования внешнеэкономической деятельности и организации таможенного контроля.				ruokeiname
okfs	Russian form of ownership code	Russian classifier of forms of ownership, OKFS	False	ru	common	RU		Код ОКФС	ОКФС — это общероссийский классификатор форм собственности, входящий в Единую систему кодирования РФ				ruokfsknown
okogu	Russian government and governance code (OKOGU)	Russian government and governance code. OKOGU classifier	False	ru	common	RU		Код ОКОГУ	ОКОГУ -  это общероссийский классификатор органов государственной власти и управления				ruokoguknown
okopf	Code of type of business entity (Russian, OKOPF)	Code of type of business entity in Russia, classifier OKOPF	False	ru	companies, common	RU		Код организационно-правовая формы по ОКОПФ	Код организационно-правовой формы юридического лица по справочнику ОКОПФ				ruokopfknown, ruokopfcode
okopfname	Type of business entity (Russian, OKOPF)	Type of business entity in Russia, classifier OKOPF	False	ru	companies	RU		Организационно-правовая форма	Наименование организационно-правовой формы юридического лица по справочнику ОКОПФ				ruokopfname
okpd	Russian product code (OKPD)	Russian product code (OKPD) used for government procurement and budget planning purposes	False	ru	common	RU		Код ОКПД	Код по Общероссийскому классификатору продукции				ruokpdcode, ruokpdcodeimprecise
okpo	Russian organization stat code	Russian organizations statistical code (OKPO) issued by Rosstat	False	ru	companies	RU		Код ОКПО	Код по Общероссийскому классификатору предприятий и организаций				ruokpoknown
oktmo	Russian Classification of Territories of Municipal Formations (OKTMO) code	Russian Classification of Territories of Municipal Formations (Russian: Общероссийский классификатор территорий муниципальных образований), or OKTMO (Russian: ОКТМО), is one of several Russian national registers. OKTMO organizes information about the structure of the municipal divisions of Russia.	False	ru	common	RU		Код ОКТМО	Общероссийский классификатор территорий муниципальных образований (сокращ. ОКТМО) — классификатор объектов административно-территориального деления Российской Федерации, входит в состав «Единой системы классификации и кодирования технико-экономической и социальной информации Российской Федерации» (ЕСКК).	https://en.wikipedia.org/wiki/OKTMO	wikipedia		ruoktmoknown
oktmoname	Russian Classification of Territories of Municipal Formations (OKTMO) name	Russian Classification of Territories of Municipal Formations (Russian: Общероссийский классификатор территорий муниципальных образований), or OKTMO (Russian: ОКТМО), is one of several Russian national registers. OKTMO organizes information about the structure of the municipal divisions of Russia.	False	ru	common	RU		Наименование из справочника ОКТМО	Общероссийский классификатор территорий муниципальных образований (сокращ. ОКТМО) — классификатор объектов административно-территориального деления Российской Федерации, входит в состав «Единой системы классификации и кодирования технико-экономической и социальной информации Российской Федерации» (ЕСКК).	https://en.wikipedia.org/wiki/OKTMO	wikipedia		ruoktmonameknown
okvalpha	Russian currency code	Russian currency codes (OKV classifier)	False	ru	common	RU		Код валюты по ОКВ	Код валюты по справочнику ОКВ (Общероссийский классификатор валют)				ruokvknown
okved	Russian economic classification code (OKVED)	Russian economic classification code (OKVED)	False	ru	common	RU		Код ОКВЭД	Код по общероссийскому классификатору видов экономической деятельности				ruokvedknown, ruookvedcodepatimprecise, ruookvedcodepat
okvname	Russian currency name	Russian currency names (OKV classifier)	False	ru	common	RU		Название валюты по ОКВ	Название валюты по справочнику ОКВ (Общероссийский классификатор валют)				ruokvknownname
orcid	Open Researcher and Contributor ID (ORCID)	The ORCID, Open Researcher and Contributor ID) is a nonproprietary alphanumeric code to uniquely identify authors and contributors of scholarly communication as well as ORCIDs website and services to look up authors and their bibliographic output (and other user-supplied pieces of information).	False	common	science, persons					https://en.wikipedia.org/wiki/ORCID	wikipedia		orcidbyknown
orgname	Company name	Name of the organization/business/company in any language	False	common	companies							encompanyname, rucompanyname	encompanynamebypostfix, ruorgnameknown, companynameknown, ruorgname
p2pkhaddr	Pubkey hash (P2PKH address)	A Bitcoin address is only a hash, so the sender can't provide a full public key in scriptPubKey. When redeeming coins that have been sent to a Bitcoin address, the recipient provides both the signature and the public key. The script verifies that the provided public key does hash to the hash in scriptPubKey, and then it also checks the signature against the public key. 	False	common	cryptocurrency					https://allprivatekeys.com/bitcoin-address-format	other		
p2shaddr	Script hash (P2SH address)	Pay to script hash (P2SH) transactions were standardised in BIP 16. They allow transactions to be sent to a script hash (address starting with 3) instead of a public key hash (addresses starting with 1). To spend bitcoins sent via P2SH, the recipient must provide a script matching the script hash and data which makes the script evaluate to true. 	False	common	cryptocurrency					https://allprivatekeys.com/bitcoin-address-format	other		
p2wpkhaddr	P2WPKH address		False	common	cryptocurrency					https://allprivatekeys.com/bitcoin-address-format	other		
p2wshaddr	P2WSH address		False	common	cryptocurrency					https://allprivatekeys.com/bitcoin-address-format	other		
passport	Person passport number (universal)	Person passport, usually unique personal information that should be shared online. Identifies personal document issued to person by government authority	True	common	pii, persons							ruintpassport	passportbypat, passportbyknown
password	Password	Passwords, usually associated with login/username/email.	True	common	pii								passwordbyknown
percentage	Percentage	Parcentage float number value between 0 and 100. Rarely could be greater that 100	False	common	values								
person_firstname	Person firstname	First name of the person. For example, Donald or Vladimir or Jack	True	common	persons, pii							rusfirstname	firstnamepat, rusfirstnames, firstname
person_fullname	Person fullname	Full name of the person as combination of last, first, and sometimes middle name	True	common	persons, pii							rusfullname, frfullname	rufullname, rupfioknown, frfullnamebyknown
person_midname	Person middle name	Middle name of the person	True	common	persons, pii							rusmidname	midnamepat, midname, rusmidnames
person_surname	Person surname/lastname	Last name of the person. For example, Smith or Ivanova	True	common	persons, pii							russurname	surnamepat, russurnames, surname, lastnamepat
phone	Phone number	Number of phone/fax	True	common	pii, common								phoneknownprefix, phone, phoneknown, ruphoneknown, faxknownpat, phoneknownpat, esphonebyname
postindex	Postal code/index	Postal index/code, unique post identifier used in address	True	common	geo, pii, common			Почтовый индекс	Индекс почтовой связи			ukpostalcode, uszipcode, ruspostalcode, frpostcode, espostcode	rupostindexbyknown, postindexknown, rupostindex, frpostalcode, spanishpostalcodebyname
ppocode	Russian public legal formation code	Russian public legal formation is a legal definition of public entity with right of administration of its level budget	False	ru	government	RU		Код публично правового образования в РФ	Публично правовое образование - это организация/субъект федерации с правом распоряжения бюджетом своего уровня				ruppocode
pponame	Russian public legal formation name	Russian public legal formation is a legal definition of public entity with right of administration of its level budget	False	ru	government	RU		Наименование публично правового образования в РФ	Публично правовое образование - это организация/субъект федерации с правом распоряжения бюджетом своего уровня				rupponame
researcherid	ResearcherID	ResearcherID is an identifying system for scientific authors. The system was introduced in January 2008 by Thomson Reuters. 	False	common	science, persons					https://en.wikipedia.org/wiki/ResearcherID	wikipedia		
rnfi	Russian government property ID (RNFI)	Russian government federal property unique ID (RNFI)	False	ru	government	RU							
ror	ROR Identifier	Research Organization Registry (ROR) is a community-led database that aims to provide a persistent identifier for every research institution in the world.[1] It complements other commonly used identifiers such as ORCID for researchers and DOI for research output. 	False	common	science					https://en.wikipedia.org/wiki/Research_Organization_Registry	wikipedia		
ruikuiko	Russian government customers unique code	Unique code assigned to all government customers in Russian Federation	False	ru	government	RU		Идентификационный код заказчика	Код присваиваемый государственным заказчикам в Российской Федерации				ruikucode
ruikz	Russian government procurement unique id	Unique id assigned to all government procurement procedures in Russian Federation	False	ru	government	RU		Идентификационный код закупки	Код присваиваемый государственным закупкам в Российской Федерации				ruikzcode
